candidate_name,party_name,storkreds
Benjamin Christensen,SF - Socialistisk Folkeparti,Nordjyllands Storkreds
Christina Lykke,SF - Socialistisk Folkeparti,Nordjyllands Storkreds
Dorte M. Nielsen,SF - Socialistisk Folkeparti,Nordjyllands Storkreds
Henning Jørgensen,SF - Socialistisk Folkeparti,Nordjyllands Storkreds
Melina Andersen,SF - Socialistisk Folkeparti,Nordjyllands Storkreds
Morten Bo Bertelsen,SF - Socialistisk Folkeparti,Nordjyllands Storkreds
Peder Larsen,SF - Socialistisk Folkeparti,Nordjyllands Storkreds
Theresa Berg Andersen,SF - Socialistisk Folkeparti,Nordjyllands Storkreds
Thomas Kjeldsen,SF - Socialistisk Folkeparti,Nordjyllands Storkreds
Ane Halsboe-Jørgensen,Socialdemokratiet,Nordjyllands Storkreds
Flemming Møller Mortensen,Socialdemokratiet,Nordjyllands Storkreds
Kiki Bille Bach,Socialdemokratiet,Nordjyllands Storkreds
Mette Frederiksen,Socialdemokratiet,Nordjyllands Storkreds
Morten Ryom,Socialdemokratiet,Nordjyllands Storkreds
Peder Key Kristiansen,Socialdemokratiet,Nordjyllands Storkreds
Per Husted,Socialdemokratiet,Nordjyllands Storkreds
Simon Kollerup,Socialdemokratiet,Nordjyllands Storkreds
Thomas Klimek,Socialdemokratiet,Nordjyllands Storkreds
Anita Vivi Lilholt,Venstre,Nordjyllands Storkreds
Anne Honoré Østergaard,Venstre,Nordjyllands Storkreds
Hans Jørgen Adamsen,Venstre,Nordjyllands Storkreds
Marie Bjerre,Venstre,Nordjyllands Storkreds
Mikkel Bisgaard,Venstre,Nordjyllands Storkreds
Niels H. Bünemann,Venstre,Nordjyllands Storkreds
Phillip Sperling,Venstre,Nordjyllands Storkreds
Preben Bang Henriksen,Venstre,Nordjyllands Storkreds
Torsten Schack Pedersen,Venstre,Nordjyllands Storkreds
Helene Brydensholt,Alternativet,Nordsjællands Storkreds
Ingrid Heintz,Alternativet,Nordsjællands Storkreds
Mariane Lunden,Alternativet,Nordsjællands Storkreds
Morten Hvidberg Greve,Alternativet,Nordsjællands Storkreds
